Date,Forecasted Solar Generation
2025-01-01,16.91378438208331
2025-02-01,16.37204149384067
2025-03-01,17.218585255065076
2025-04-01,17.730753533081646
2025-05-01,18.887726136115564
2025-06-01,19.183944833976685
2025-07-01,19.185233397826472
2025-08-01,20.479672502919115
2025-09-01,22.622964547913867
2025-10-01,19.663021647311272
2025-11-01,18.656370277441816
2025-12-01,18.681923233386932
2026-01-01,18.933443009316193
2026-02-01,18.445471964530693
2026-03-01,19.29731075873289
2026-04-01,19.81000625068848
2026-05-01,20.967049474033978
2026-06-01,21.263278217195772
2026-07-01,21.264567293796894
2026-08-01,22.559028500552518
2026-09-01,24.702357065734063
2026-10-01,21.742363736788423
2026-11-01,20.735695216556618
2026-12-01,20.761248607854167
2027-01-01,21.01277771559997
2027-02-01,20.52480758693014
2027-03-01,21.37664647134429
2027-04-01,21.889341972282065
2027-05-01,23.046385196830727
2027-06-01,23.34261394016366
2027-07-01,23.343903016773524
2027-08-01,24.638364223905697
2027-09-01,26.78169278970944
2027-10-01,23.821699459904643
2027-11-01,22.81503093938065
2027-12-01,22.840584330685623
2028-01-01,23.092113438590413
2028-02-01,22.60414330993619
2028-03-01,23.455982194351876
2028-04-01,23.968677695289806
2028-05-01,25.12572091983849
2028-06-01,25.421949663171425
2028-07-01,25.423238739781286
2028-08-01,26.717699946913466
2028-09-01,28.861028512717223
2028-10-01,25.901035182912413
2028-11-01,24.894366662388414
2028-12-01,24.919920053693378
2029-01-01,25.171449161598172
2029-02-01,24.68347903294395
2029-03-01,25.535317917359635
2029-04-01,26.048013418297565
2029-05-01,27.205056642846245
2029-06-01,27.501285386179184
2029-07-01,27.502574462789045
2029-08-01,28.797035669921225
2029-09-01,30.940364235724978
2029-10-01,27.980370905920168
2029-11-01,26.97370238539617
2029-12-01,26.999255776701137
2030-01-01,27.25078488460593
2030-02-01,26.76281475595171
2030-03-01,27.614653640367393
2030-04-01,28.127349141305324
2030-05-01,29.284392365854004
2030-06-01,29.580621109186943
2030-07-01,29.581910185796804
2030-08-01,30.876371392928984
2030-09-01,33.01969995873274
2030-10-01,30.059706628927927
2030-11-01,29.05303810840393
2030-12-01,29.078591499708896
